FECHA,FARMACIA
29/08/2022,TEHUELCHE N° 125 - FARMACIA SOCIAL X 4558450
29/08/2022,RIVADAVIA N° 1996 FARMACIA ARGENTINA RURAL  4460844
29/08/2022,RIVADAVIA N° 1586 FARMACIA SOCIAL II 4462600
22/08/2022,DISCEPOLO N° 489 KM 8 FARMACIA SANTA LUCIA 4536092
22/08/2022,COLONOS GALESES N° 2183 FCIA MAGISTRAL RODRIGUEZ          4467638
22/08/2022,POLONIA N° 507- FARMACIA SOCIAL XVIII 4460721
15/08/2022,RUTA N° 1 - KM 5 FARMACIA KM 5 4557991
15/08/2022,KENNEDY N°3386 4480700 FARMACIA SANTA GEMA
15/08/2022,AMEGHINO N° 1315 FARMACIA LA FARMACIA DEL VALLE  4470112
08/08/2022,KM 4                                  FARMACIA WALMART              4933207 INT 211
08/08/2022,AV. CALLAO N° 850 ESQ. JACHAL                          FARMACIA PETROFARMA
08/08/2022,LA CAUTIVA N° 1198 FARMACIA CEFERINO  4476541
01/08/2022,JOSE INGENIEROS N° 1205 - KM 5 FARMACIA SOCIAL XIX
01/08/2022,AVDA LISANDRO DE LA TORRE Y POLONIA - FARMACIA ARGENTINA AUSTRAL
01/08/2022,RIVADAVIA N° 1334 FARMACIA UNION  4062266
30/08/2022,MUJICA Y COMODORO RIV FARMACIA SOCIAL VIII 4536626
30/08/2022,ALEM N° 224 FARMACIA CRITAL DE ALEM  4473921
30/08/2022,AMEGHINO N° 1315 FARMACIA LA FARMACIA DEL VALLE  4470112
23/08/2022,ALEJANDRO MAIZ N° 625 - KM 8   FARMACIA SOCIAL XI 4535044
23/08/2022,KENNEDY N°2066-FARMACIA AVENIDA 4472481
23/08/2022,ESPAÑA N°802  FARMACIA RIVADAVIA 4445297
16/08/2022,TEHUELCHE N° 125 - FARMACIA SOCIAL X 4558450
16/08/2022,RIVADAVIA N° 1996 FARMACIA ARGENTINA RURAL  4460844
16/08/2022,ESPAÑA N°802  FARMACIA RIVADAVIA 4445297
09/08/2022,DISCEPOLO N° 489 KM 8 FARMACIA SANTA LUCIA 4536092
09/08/2022,COLONOS GALESES N° 2183 FCIA MAGISTRAL RODRIGUEZ          4467638
09/08/2022,AVDA. CHILE Y GIROLAMO FARMACIA WALMART    0297-154137341 int. 211
02/08/2022,RUTA N° 1 - KM 5 FARMACIA KM 5 4557991
02/08/2022,KENNEDY N°3386 4480700 FARMACIA SANTA GEMA
02/08/2022,HIPOLITO IRIGOYEN N° 925 FCIA ARGENTINA DEL SUD 4464306
31/08/2022,AVDA TEHUELCHE N° 126 FARMACIA SAN MARTIN 4557557
31/08/2022,AVDA. ROCA N° 316 FARMACIA SOCIAL VII 4483031
31/08/2022,AMEGHINO N° 1315 FARMACIA LA FARMACIA DEL VALLE  4470112
24/08/2022,ESPAÑA N°802  FARMACIA RIVADAVIA 4445297
24/08/2022,KENNEDY N° 2772-FARMACIA SOCIAL         4487066
24/08/2022,LA CAUTIVA N° 1198 FARMACIA CEFERINO  4476541
17/08/2022,MUJICA Y COMODORO RIV FARMACIA SOCIAL VIII 4536626
17/08/2022,ALEM N° 224 FARMACIA CRITAL DE ALEM  4473921
17/08/2022,RIVADAVIA N° 1334 FARMACIA UNION  4062266
10/08/2022,ALEJANDRO MAIZ N° 625 - KM 8   FARMACIA SOCIAL XI 4535044
10/08/2022,KENNEDY N°2066-FARMACIA AVENIDA 4472481
10/08/2022,EE.UU N° 895- FARMACIA SARTORIO 4461681
03/08/2022,TEHUELCHE N° 125 - FARMACIA SOCIAL X 4558450
03/08/2022,RIVADAVIA N° 1996 FARMACIA ARGENTINA RURAL  4460844
03/08/2022,AVDA. POLONIA N° 2011 FARMACIA FAVALORO 2975132980
25/08/2022,ROCIO ORTIZ N° 68 PALAZZO - FARMACIA PROSPERO PALAZZO 
25/08/2022,PORTUGAL N° 447-FARMACIA FARMASOL 4461234
25/08/2022,AVDA. CHILE Y GIROLAMO FARMACIA WALMART    0297-154137341 int. 211
18/08/2022,AVDA TEHUELCHE N° 126 FARMACIA SAN MARTIN 4557557
18/08/2022,AVDA. ROCA N° 316 FARMACIA SOCIAL VII 4483031
18/08/2022,HIPOLITO IRIGOYEN N° 925 FCIA ARGENTINA DEL SUD 4464306
11/08/2022,ESPAÑA N°802  FARMACIA RIVADAVIA 4445297
11/08/2022,KENNEDY N° 2772-FARMACIA SOCIAL         4487066
11/08/2022,RIVADAVIA N° 2245 FARMACIA CHUBUT  4476104
04/08/2022,MUJICA Y COMODORO RIV FARMACIA SOCIAL VIII 4536626
04/08/2022,ALEM N° 224 FARMACIA CRITAL DE ALEM  4473921
04/08/2022,ALCORTA N° 561           FARMACIA FUCHS      4460552
26/08/2022,RUTA N° 3 - KM 3 FARMACIA GRAL. MOSCONI
26/08/2022,KENNEDY 3113        FARMACIA SOCIAL XVI
26/08/2022,EE.UU N° 895- FARMACIA SARTORIO 4461681
19/08/2022,ING. STRASSER N° 14 FARMACIA STANDARD
19/08/2022,LA NACION Y OLAVARRIA FARMACIA LA NACION        4485206
19/08/2022,AVDA. POLONIA N° 2011 FARMACIA FAVALORO 2975132980
12/08/2022,ROCIO ORTIZ N° 68 PALAZZO - FARMACIA PROSPERO PALAZZO 
12/08/2022,PORTUGAL N° 447-FARMACIA FARMASOL 4461234
12/08/2022,SANTA CRUZ Y URUGUAY FARMACIA SAN CARLOS 4460320
05/08/2022,AVDA TEHUELCHE N° 126 FARMACIA SAN MARTIN 4557557
05/08/2022,AVDA. ROCA N° 316 FARMACIA SOCIAL VII 4483031
05/08/2022,POLONIA N° 755- FARMACIA LAHUEN 4466695
27/08/2022,JOSE INGENIEROS N° 1205 - KM 5 FARMACIA SOCIAL XIX
27/08/2022,AVDA LISANDRO DE LA TORRE Y POLONIA - FARMACIA ARGENTINA AUSTRAL
27/08/2022,RIVADAVIA N° 2245 FARMACIA CHUBUT  4476104
20/08/2022,RECONQUISTA N° 16- PALAZZO         -     FCIA TREVELIN CEL 297-4018999
20/08/2022,AVDA POLONIA N° 324 FARMACIA ROCA              4484953
20/08/2022,ALCORTA N° 561           FARMACIA FUCHS      4460552
13/08/2022,RUTA N° 3 - KM 3 FARMACIA GRAL. MOSCONI
13/08/2022,KENNEDY 3113        FARMACIA SOCIAL XVI
13/08/2022,RIVADAVIA N° 1586 FARMACIA SOCIAL II 4462600
06/08/2022,ING. STRASSER N° 14 FARMACIA STANDARD
06/08/2022,LA NACION Y OLAVARRIA FARMACIA LA NACION        4485206
06/08/2022,POLONIA N° 507- FARMACIA SOCIAL XVIII 4460721
28/08/2022,RUTA N° 1 - KM 5 FARMACIA KM 5 4557991
28/08/2022,KENNEDY N°3386 4480700 FARMACIA SANTA GEMA
28/08/2022,SANTA CRUZ Y URUGUAY FARMACIA SAN CARLOS 4460320
21/08/2022,KM 4                                  FARMACIA WALMART              4933207 INT 211
21/08/2022,AV. CALLAO N° 850 ESQ. JACHAL                          FARMACIA PETROFARMA
21/08/2022,ESPAÑA N°802  FARMACIA RIVADAVIA 4445297
14/08/2022,JOSE INGENIEROS N° 1205 - KM 5 FARMACIA SOCIAL XIX
14/08/2022,AVDA LISANDRO DE LA TORRE Y POLONIA - FARMACIA ARGENTINA AUSTRAL
14/08/2022,AMEGHINO N° 1315 FARMACIA LA FARMACIA DEL VALLE  4470112
07/08/2022,RECONQUISTA N° 16- PALAZZO         -     FCIA TREVELIN CEL 297-4018999
07/08/2022,AVDA POLONIA N° 324 FARMACIA ROCA              4484953
07/08/2022,ESPAÑA N°802  FARMACIA RIVADAVIA 4445297
